rounds,nl,sbox_name,hidden_size,avalanche_effect,is_random,plaintext_type,avg_cos,std_cos,bit_acc,avg_bit_acc,word_acc,total_samples
1,4,default_sbox,256,,True,random,0.9993333098212086,0.0010528054106855738,99.99,99.98891843971631,99.29078014184397,141
1,4,default_sbox,512,,True,random,0.9999797758408748,3.171483974808528e-05,100.0,100.0,100.0,141
2,0,perfectly_linear,1024,,True,random,0.9998490141229448,0.0007114071707524173,99.99,99.98891843971631,99.29078014184397,141
2,0,perfectly_linear,128,,True,random,0.9248740293626774,0.03188198088138851,90.37,90.37012411347517,6.382978723404255,141
2,0,perfectly_linear,256,,True,random,0.9842461591725907,0.01470074568978632,97.94,97.93882978723404,51.06382978723404,141
2,0,perfectly_linear,512,,True,random,0.9986356046206654,0.00346622570254544,99.87,99.86702127659575,95.74468085106383,141
2,2,nonlinearity_two,1024,,True,random,0.7225637230787547,0.060953069304644975,67.71,67.70833333333333,0.0,141
2,2,nonlinearity_two,128,,True,random,0.7460248868003166,0.04609548823293355,63.81,63.80762411347518,0.0,141
2,2,nonlinearity_two,256,,True,random,0.7532759158611771,0.044792753279907914,66.13,66.13475177304964,0.0,141
2,2,nonlinearity_two,512,,True,random,0.7442851862811322,0.053736648934780175,67.23,67.23182624113475,0.0,141
2,4,default_sbox,1024,,True,random,0.669298872881,0.06242027192225953,62.92,62.92109929078014,0.0,141
2,4,default_sbox,128,,True,random,0.7150466392752759,0.05235378960617289,58.54,58.5438829787234,0.0,141
2,4,default_sbox,256,,True,random,0.7136729000019552,0.05308722472202771,60.47,60.472074468085104,0.0,141
2,4,default_sbox,512,,True,random,0.6940571589872884,0.0556695117265415,61.8,61.80186170212766,0.0,141
32,0,perfectly_linear,1024,,True,random,0.7063038095103892,0.047120925962397364,51.02,51.019503546099294,0.0,141
32,0,perfectly_linear,128,,True,random,0.7062723210297482,0.047049103180008114,51.15,51.152482269503544,0.0,141
32,0,perfectly_linear,256,,True,random,0.7062927097161936,0.0471192140250686,51.01,51.0084219858156,0.0,141
32,0,perfectly_linear,512,,True,random,0.7063268239474969,0.04707403784821223,51.01,51.0084219858156,0.0,141
32,2,nonlinearity_two,1024,,True,random,0.7023670826608739,0.045239154156851716,50.39,50.38785460992908,0.0,141
32,2,nonlinearity_two,128,,True,random,0.7023259065044613,0.045207778279034765,50.82,50.820035460992905,0.0,141
32,2,nonlinearity_two,256,,True,random,0.7023416365326892,0.04525251566512192,50.73,50.7313829787234,0.0,141
32,2,nonlinearity_two,512,,True,random,0.7023567394757068,0.045212869221940274,50.39,50.38785460992908,0.0,141
32,4,default_sbox,1024,,True,random,0.7045269358241547,0.047080646622603216,49.7,49.700797872340424,0.0,141
32,4,default_sbox,128,,True,random,0.7045465339312401,0.04707445808272599,49.55,49.545656028368796,0.0,141
32,4,default_sbox,256,,True,random,0.7045683541857534,0.0470343097554619,49.56,49.55673758865248,0.0,141
32,4,default_sbox,512,,True,random,0.7045589201393365,0.04706596176906731,49.73,49.734042553191486,0.0,141
3,0,perfectly_linear,1024,,True,random,0.9807098049992439,0.017313140589042174,97.53,97.52881205673759,40.42553191489361,141
3,0,perfectly_linear,128,,True,random,0.8730281094110824,0.03604240920417875,83.78,83.77659574468085,1.4184397163120568,141
3,0,perfectly_linear,256,,True,random,0.9267589888660411,0.03209358778246696,90.69,90.69148936170212,5.673758865248227,141
3,0,perfectly_linear,512,,True,random,0.9668493819654207,0.02513368869314616,95.87,95.8665780141844,26.24113475177305,141
3,2,nonlinearity_two,1024,,True,random,0.6075576662063452,0.06592280006004338,54.7,54.698581560283685,0.0,141
3,2,nonlinearity_two,128,,True,random,0.6890858102532335,0.05075453281687538,52.85,52.8479609929078,0.0,141
3,2,nonlinearity_two,256,,True,random,0.6644258452481284,0.05682809974009152,53.8,53.80097517730496,0.0,141
3,2,nonlinearity_two,512,,True,random,0.6334311263815626,0.0600577563664911,54.54,54.54343971631206,0.0,141
3,4,default_sbox,1024,,True,random,0.5820013886856442,0.07676356131762142,51.57,51.573581560283685,0.0,141
3,4,default_sbox,128,,True,random,0.6806054967603189,0.0493616318988632,51.23,51.23005319148936,0.0,141
3,4,default_sbox,256,,True,random,0.6408915930486323,0.060764627707905666,50.75,50.75354609929078,0.0,141
